ref,short_name,scope,oid,commit_date,subject,is_main,merged_into_main,main_behind_count,branch_ahead_count,cherry_novel_commits,cherry_equivalent_commits,changed_file_count,residual_file_count,overlap_with_main_count,merge_status,classification,pr_numbers,pr_states,changed_files,residual_files,overlap_with_main_files,conflict_summary,residual_fingerprint
refs/heads/claude/ruview-wifi-analysis-2YG4p,claude/ruview-wifi-analysis-2YG4p,local,988cf4c3237938029b11f0ad07a196e9e22f1df6,2026-05-28T21:44:48+09:00,Merge remote-tracking branch 'origin/claude/ruview-wifi-analysis-2YG4p' into claude/ruview-wifi-analysis-2YG4p,False,True,546,0,0,0,0,0,0,not_needed,merged,32 | 33 | 34 | 39 | 70 | 265 | 282 | 283,MERGED | OPEN,,,,,
refs/heads/feat/mavlink-tx,feat/mavlink-tx,local,1d56914f7e95df5fb4279657f5fd0de203beb38c,2026-06-08T20:47:16+09:00,docs: 변경 이력 업데이트 2026-06-08 20:47 [changelog],False,False,323,6,6,0,11,11,4,conflict,merge_conflict,,,README.md | ROADMAP.md | api/auth.py | docs/PERMALINK_GUIDE.md | docs/TBD_PLACEHOLDERS_CHECKLIST.md | docs/handout.html | docs/patent/SDACS_특허명세서.md | docs/patent/선행기술_조사.md | src/hardware/onboard_bridge.py | tests/test_auth_revocation.py | tests/test_onboard_bridge_mavlink_tx.py,README.md | ROADMAP.md | api/auth.py | docs/PERMALINK_GUIDE.md | docs/TBD_PLACEHOLDERS_CHECKLIST.md | docs/handout.html | docs/patent/SDACS_특허명세서.md | docs/patent/선행기술_조사.md | src/hardware/onboard_bridge.py | tests/test_auth_revocation.py | tests/test_onboard_bridge_mavlink_tx.py,README.md | ROADMAP.md | api/auth.py | src/hardware/onboard_bridge.py,Auto-merging README.md | CONFLICT (content): Merge conflict in README.md | Auto-merging ROADMAP.md | CONFLICT (content): Merge conflict in ROADMAP.md | Auto-merging api/auth.py | Auto-merging src/hardware/onboard_bridge.py | CONFLICT (content): Merge conflict in src/hardware/onboard_bridge.py,1033786014c5534f9ff89a5c71fd85cb6eb7f9ff386ee9ac49f6bbe12a1fe329
refs/heads/feat/p706-p712-p717-experiments,feat/p706-p712-p717-experiments,local,fe1d298d4eda0a70971f2c3d3b84a2bb4772e700,2026-05-31T20:09:00+09:00,feat: P719 보안 감사 + ROADMAP P717/P719 완료 갱신,False,False,520,1,1,0,4,4,1,conflict,merge_conflict,56,CLOSED,ROADMAP.md | results/security/SECURITY_AUDIT_REPORT.md | results/security/security_audit.json | scripts/security_audit.py,ROADMAP.md | results/security/SECURITY_AUDIT_REPORT.md | results/security/security_audit.json | scripts/security_audit.py,ROADMAP.md,Auto-merging ROADMAP.md | CONFLICT (content): Merge conflict in ROADMAP.md,fe8a83d8a89bf61993e628fa32344fab4d5062da37ce4497b10ff4ded6058097
refs/heads/main,main,local,6c525d2775c5b73fa1d154de693bd31473564bcd,2026-06-18T17:16:54+09:00,Add public project materials and refresh documentation,True,True,0,0,0,0,0,0,0,not_needed,main,,,,,,,
refs/remotes/origin/claude/dazzling-maxwell-0GSdJ,origin/claude/dazzling-maxwell-0GSdJ,remote,2da17432b9e9b912b69f312d345bc64909ee074c,2026-05-30T22:38:53Z,docs: 변경 이력 업데이트 2026-05-31 07:38 [changelog],False,False,527,20,19,1,114,114,93,conflict,merge_conflict,51,CLOSED,.github/workflows/container.yml | .github/workflows/security.yml | README.md | ROADMAP.md | api/auth.py | api/fastapi_server.py | api/metrics.py | benchmarks/_schema/manifest.schema.json | deployment/helm/sdacs/Chart.yaml | deployment/helm/sdacs/templates/_helpers.tpl | deployment/helm/sdacs/templates/deployment.yaml | deployment/helm/sdacs/templates/hpa.yaml | deployment/helm/sdacs/templates/secret.yaml | deployment/helm/sdacs/templates/service.yaml | deployment/helm/sdacs/values.yaml | deployment/k8s/deployment.yaml | pyproject.toml | reports/status_2026-05-30.md | results/p706_comparison_3sc_5seed.csv | results/p706_summary.json | scripts/db/001_init_schema.sql | scripts/db/002_retention_policy.sql | scripts/sdacs_daily_status.py | scripts/validate_dataset.py | simulation/battery_predictor.py | simulation/drone_swarm_protocol.py | simulation/environmental_scenario.py | simulation/failsafe_manager.py | simulation/hitl_report_generator.py | simulation/ml_pipeline_integration.py | simulation/mocap_hitl_bridge.py | simulation/model_training_pipeline.py | simulation/onboard_bridge.py | simulation/outdoor_flight_test.py | simulation/px4_firmware_validator.py | simulation/remote_id_broadcast.py | simulation/rtk_gps_handler.py | simulation/swarm_time_sync.py | simulation/ws_bridge.py | src/ada/safety_critical.adb | src/ada/tmr_voter_v2.adb | src/asm/crc32_checksum.asm | src/assembly/kalman_filter.asm | src/boids_swarm.py | src/clojure/event_sourcing_v2.clj | src/clojure/event_stream.clj | src/cobol/legacy_atc_bridge.cob | src/cpp/formation_gan_engine.cpp | src/cpp/particle_filter.cpp | src/crystal/telemetry_parser.cr | src/dart/flutter_dashboard.dart | src/dart/gcs_protocol.dart | src/dlang/parallel_compute.d | src/elixir/fault_supervisor.ex | src/elixir/supervisor_tree.ex | src/erlang/distributed_consensus.erl | src/erlang/fault_supervisor.erl | src/fortran/cfd_wind_tunnel.f90 | src/fortran/wind_field_solver.f90 | src/fsharp/CooperativePerception.fs | src/fsharp/reactive_pipeline.fsx | src/go/realtime_monitor.go | src/go/swarm_blockchain.go | src/groovy/build_pipeline.groovy | src/haskell/SafetyVerifier.hs | src/haskell/formal_verifier.hs | src/julia/numerical_trajectory.jl | src/julia/swarm_ode_solver.jl | src/kotlin/PredictiveRouting.kt | src/kotlin/android_telemetry.kt | src/lisp/symbolic_planner.lisp | src/lua/config_scripting.lua | src/lua/swarm_scripting_engine.lua | src/nim/async_dispatcher.nim | src/nim/fault_tolerant_nav.nim | src/nim/realtime_scheduler.nim | src/ocaml/swarm_diplomacy.ml | src/ocaml/type_checker.ml | src/ocaml/type_safe_protocol.ml | src/octave/control_system_model.m | src/octave/signal_processor.m | src/pascal/waypoint_navigator.pas | src/perl/log_analyzer.pl | src/perl/log_parser.pl | src/php/fleet_web_portal.php | src/powershell/deployment_manager.ps1 | src/prolog/airspace_rules.pl | src/prolog/airspace_rules_v2.pl | src/r/statistical_analyzer.R | src/r/statistical_dashboard.R | src/ruby/api_gateway.rb | src/ruby/devops_pipeline.rb | src/rust/edge_ml_engine.rs | src/rust/safety_verifier.rs | src/scala/SwarmActorComm.scala | src/scala/stream_processor.scala | src/scheme/rule_engine.scm | src/sensor_fusion.py | src/smalltalk/message_broker.st | src/swift/SatelliteRelay.swift | src/swift/ios_drone_monitor.swift | src/tcl/config_manager.tcl | src/ts/drone_digital_passport.ts | src/typescript/swarm_dashboard_api.ts | src/vhdl/fir_filter.vhd | src/vhdl/pwm_motor_driver.vhd | src/zig/quantum_comm.zig | src/zig/ring_buffer_v2.zig | src/zig/zero_copy_buffer.zig | tests/load/__init__.py | tests/load/locustfile.py | tests/test_onboard_bridge.py | tests/test_track_a_simulation_modules.py | tests/test_ws_bridge.py,.github/workflows/container.yml | .github/workflows/security.yml | README.md | ROADMAP.md | api/auth.py | api/fastapi_server.py | api/metrics.py | benchmarks/_schema/manifest.schema.json | deployment/helm/sdacs/Chart.yaml | deployment/helm/sdacs/templates/_helpers.tpl | deployment/helm/sdacs/templates/deployment.yaml | deployment/helm/sdacs/templates/hpa.yaml | deployment/helm/sdacs/templates/secret.yaml | deployment/helm/sdacs/templates/service.yaml | deployment/helm/sdacs/values.yaml | deployment/k8s/deployment.yaml | pyproject.toml | reports/status_2026-05-30.md | results/p706_comparison_3sc_5seed.csv | results/p706_summary.json | scripts/db/001_init_schema.sql | scripts/db/002_retention_policy.sql | scripts/sdacs_daily_status.py | scripts/validate_dataset.py | simulation/battery_predictor.py | simulation/drone_swarm_protocol.py | simulation/environmental_scenario.py | simulation/failsafe_manager.py | simulation/hitl_report_generator.py | simulation/ml_pipeline_integration.py | simulation/mocap_hitl_bridge.py | simulation/model_training_pipeline.py | simulation/onboard_bridge.py | simulation/outdoor_flight_test.py | simulation/px4_firmware_validator.py | simulation/remote_id_broadcast.py | simulation/rtk_gps_handler.py | simulation/swarm_time_sync.py | simulation/ws_bridge.py | src/ada/safety_critical.adb | src/ada/tmr_voter_v2.adb | src/asm/crc32_checksum.asm | src/assembly/kalman_filter.asm | src/boids_swarm.py | src/clojure/event_sourcing_v2.clj | src/clojure/event_stream.clj | src/cobol/legacy_atc_bridge.cob | src/cpp/formation_gan_engine.cpp | src/cpp/particle_filter.cpp | src/crystal/telemetry_parser.cr | src/dart/flutter_dashboard.dart | src/dart/gcs_protocol.dart | src/dlang/parallel_compute.d | src/elixir/fault_supervisor.ex | src/elixir/supervisor_tree.ex | src/erlang/distributed_consensus.erl | src/erlang/fault_supervisor.erl | src/fortran/cfd_wind_tunnel.f90 | src/fortran/wind_field_solver.f90 | src/fsharp/CooperativePerception.fs | src/fsharp/reactive_pipeline.fsx | src/go/realtime_monitor.go | src/go/swarm_blockchain.go | src/groovy/build_pipeline.groovy | src/haskell/SafetyVerifier.hs | src/haskell/formal_verifier.hs | src/julia/numerical_trajectory.jl | src/julia/swarm_ode_solver.jl | src/kotlin/PredictiveRouting.kt | src/kotlin/android_telemetry.kt | src/lisp/symbolic_planner.lisp | src/lua/config_scripting.lua | src/lua/swarm_scripting_engine.lua | src/nim/async_dispatcher.nim | src/nim/fault_tolerant_nav.nim | src/nim/realtime_scheduler.nim | src/ocaml/swarm_diplomacy.ml | src/ocaml/type_checker.ml | src/ocaml/type_safe_protocol.ml | src/octave/control_system_model.m | src/octave/signal_processor.m | src/pascal/waypoint_navigator.pas | src/perl/log_analyzer.pl | src/perl/log_parser.pl | src/php/fleet_web_portal.php | src/powershell/deployment_manager.ps1 | src/prolog/airspace_rules.pl | src/prolog/airspace_rules_v2.pl | src/r/statistical_analyzer.R | src/r/statistical_dashboard.R | src/ruby/api_gateway.rb | src/ruby/devops_pipeline.rb | src/rust/edge_ml_engine.rs | src/rust/safety_verifier.rs | src/scala/SwarmActorComm.scala | src/scala/stream_processor.scala | src/scheme/rule_engine.scm | src/sensor_fusion.py | src/smalltalk/message_broker.st | src/swift/SatelliteRelay.swift | src/swift/ios_drone_monitor.swift | src/tcl/config_manager.tcl | src/ts/drone_digital_passport.ts | src/typescript/swarm_dashboard_api.ts | src/vhdl/fir_filter.vhd | src/vhdl/pwm_motor_driver.vhd | src/zig/quantum_comm.zig | src/zig/ring_buffer_v2.zig | src/zig/zero_copy_buffer.zig | tests/load/__init__.py | tests/load/locustfile.py | tests/test_onboard_bridge.py | tests/test_track_a_simulation_modules.py | tests/test_ws_bridge.py,.github/workflows/security.yml | README.md | ROADMAP.md | api/auth.py | api/fastapi_server.py | benchmarks/_schema/manifest.schema.json | pyproject.toml | results/p706_comparison_3sc_5seed.csv | results/p706_summary.json | simulation/battery_predictor.py | simulation/environmental_scenario.py | simulation/failsafe_manager.py | simulation/hitl_report_generator.py | simulation/mocap_hitl_bridge.py | simulation/onboard_bridge.py | simulation/outdoor_flight_test.py | simulation/px4_firmware_validator.py | simulation/remote_id_broadcast.py | simulation/rtk_gps_handler.py | simulation/swarm_time_sync.py | simulation/ws_bridge.py | src/ada/safety_critical.adb | src/ada/tmr_voter_v2.adb | src/asm/crc32_checksum.asm | src/assembly/kalman_filter.asm | src/boids_swarm.py | src/clojure/event_sourcing_v2.clj | src/clojure/event_stream.clj | src/cobol/legacy_atc_bridge.cob | src/cpp/formation_gan_engine.cpp | src/cpp/particle_filter.cpp | src/crystal/telemetry_parser.cr | src/dart/flutter_dashboard.dart | src/dart/gcs_protocol.dart | src/dlang/parallel_compute.d | src/elixir/fault_supervisor.ex | src/elixir/supervisor_tree.ex | src/erlang/distributed_consensus.erl | src/erlang/fault_supervisor.erl | src/fortran/cfd_wind_tunnel.f90 | src/fortran/wind_field_solver.f90 | src/fsharp/CooperativePerception.fs | src/fsharp/reactive_pipeline.fsx | src/go/realtime_monitor.go | src/go/swarm_blockchain.go | src/groovy/build_pipeline.groovy | src/haskell/SafetyVerifier.hs | src/haskell/formal_verifier.hs | src/julia/numerical_trajectory.jl | src/julia/swarm_ode_solver.jl | src/kotlin/PredictiveRouting.kt | src/kotlin/android_telemetry.kt | src/lisp/symbolic_planner.lisp | src/lua/config_scripting.lua | src/lua/swarm_scripting_engine.lua | src/nim/async_dispatcher.nim | src/nim/fault_tolerant_nav.nim | src/nim/realtime_scheduler.nim | src/ocaml/swarm_diplomacy.ml | src/ocaml/type_checker.ml | src/ocaml/type_safe_protocol.ml | src/octave/control_system_model.m | src/octave/signal_processor.m | src/pascal/waypoint_navigator.pas | src/perl/log_analyzer.pl | src/perl/log_parser.pl | src/php/fleet_web_portal.php | src/powershell/deployment_manager.ps1 | src/prolog/airspace_rules.pl | src/prolog/airspace_rules_v2.pl | src/r/statistical_analyzer.R | src/r/statistical_dashboard.R | src/ruby/api_gateway.rb | src/ruby/devops_pipeline.rb | src/rust/edge_ml_engine.rs | src/rust/safety_verifier.rs | src/scala/SwarmActorComm.scala | src/scala/stream_processor.scala | src/scheme/rule_engine.scm | src/sensor_fusion.py | src/smalltalk/message_broker.st | src/swift/SatelliteRelay.swift | src/swift/ios_drone_monitor.swift | src/tcl/config_manager.tcl | src/ts/drone_digital_passport.ts | src/typescript/swarm_dashboard_api.ts | src/vhdl/fir_filter.vhd | src/vhdl/pwm_motor_driver.vhd | src/zig/quantum_comm.zig | src/zig/ring_buffer_v2.zig | src/zig/zero_copy_buffer.zig | tests/test_onboard_bridge.py | tests/test_ws_bridge.py,Auto-merging .github/workflows/security.yml | CONFLICT (add/add): Merge conflict in .github/workflows/security.yml | Auto-merging README.md | CONFLICT (content): Merge conflict in README.md | Auto-merging ROADMAP.md | CONFLICT (content): Merge conflict in ROADMAP.md | Auto-merging api/auth.py | CONFLICT (add/add): Merge conflict in api/auth.py | Auto-merging api/fastapi_server.py | CONFLICT (content): Merge conflict in api/fastapi_server.py | Auto-merging benchmarks/_schema/manifest.schema.json | CONFLICT (add/add): Merge conflict in benchmarks/_schema/manifest.schema.json,4ac8224d0ac5e1f9ced22d147a3c98de0f32275f459bf62382ef768f6fd2bda8
refs/remotes/origin/claude/dazzling-maxwell-0x2Cw,origin/claude/dazzling-maxwell-0x2Cw,remote,6f7905466df760569707c5e78604cf6e4726dfe3,2026-05-29T16:53:49Z,docs: 변경 이력 업데이트 2026-05-30 01:53 [changelog],False,False,527,10,10,0,18,15,10,conflict,merge_conflict,41,CLOSED,.github/workflows/ci.yml | README.md | ROADMAP.md | docs/dashboard.html | docs/index.html | pyproject.toml | simulation/battery_predictor.py | tests/test_coverage_boost_2.py | tests/test_coverage_boost_4.py | tests/test_coverage_boost_5.py | tests/test_phase521_540.py | tests/test_phase541_560.py | tests/test_phase571_600.py | tests/test_phase611_630.py | tests/test_phase631_640.py | tests/test_phase641_660.py | tests/test_phase661_670_ai.py | tests/test_ws_bridge.py,.github/workflows/ci.yml | README.md | ROADMAP.md | docs/dashboard.html | docs/index.html | pyproject.toml | simulation/battery_predictor.py | tests/test_coverage_boost_4.py | tests/test_phase521_540.py | tests/test_phase541_560.py | tests/test_phase571_600.py | tests/test_phase611_630.py | tests/test_phase631_640.py | tests/test_phase641_660.py | tests/test_ws_bridge.py,README.md | ROADMAP.md | docs/index.html | pyproject.toml | simulation/battery_predictor.py | tests/test_coverage_boost_2.py | tests/test_coverage_boost_4.py | tests/test_coverage_boost_5.py | tests/test_phase661_670_ai.py | tests/test_ws_bridge.py,Auto-merging README.md | CONFLICT (content): Merge conflict in README.md | Auto-merging ROADMAP.md | CONFLICT (content): Merge conflict in ROADMAP.md | Auto-merging docs/index.html | CONFLICT (content): Merge conflict in docs/index.html | Auto-merging pyproject.toml | Auto-merging simulation/battery_predictor.py | CONFLICT (content): Merge conflict in simulation/battery_predictor.py | Auto-merging tests/test_coverage_boost_4.py | Auto-merging tests/test_ws_bridge.py | CONFLICT (content): Merge conflict in tests/test_ws_bridge.py,2df019c9fdd063425fc289a810618c3625e429808d3e09cf0e6aac21a8fc7673
refs/remotes/origin/claude/dazzling-maxwell-2zhH8,origin/claude/dazzling-maxwell-2zhH8,remote,08df1fb356d4c6ed61f49e70dad15d8a9a9196c5,2026-05-29T02:49:06Z,docs: 변경 이력 업데이트 2026-05-29 11:49 [changelog],False,False,527,2,2,0,7,7,5,conflict,merge_conflict,37,CLOSED,README.md | ROADMAP.md | api/auth.py | api/fastapi_server.py | scripts/load_test.py | scripts/security_audit.py | tests/test_api_auth.py,README.md | ROADMAP.md | api/auth.py | api/fastapi_server.py | scripts/load_test.py | scripts/security_audit.py | tests/test_api_auth.py,README.md | ROADMAP.md | api/auth.py | api/fastapi_server.py | scripts/load_test.py,Auto-merging README.md | CONFLICT (content): Merge conflict in README.md | Auto-merging ROADMAP.md | CONFLICT (content): Merge conflict in ROADMAP.md | Auto-merging api/auth.py | CONFLICT (add/add): Merge conflict in api/auth.py | Auto-merging api/fastapi_server.py | CONFLICT (content): Merge conflict in api/fastapi_server.py | Auto-merging scripts/load_test.py | CONFLICT (add/add): Merge conflict in scripts/load_test.py,48914ea9203140fd9860e2c10891401c90bb11a1c73d77a86dc8f0365fc5f2f3
refs/remotes/origin/claude/dazzling-maxwell-3hWNQ,origin/claude/dazzling-maxwell-3hWNQ,remote,e6b923a44edb0efdfb3dadad1789008abd9cf3ec,2026-05-29T15:53:39Z,docs: 변경 이력 업데이트 2026-05-30 00:53 [changelog],False,False,527,6,6,0,27,24,15,conflict,merge_conflict,40,CLOSED,.github/workflows/ci.yml | README.md | ROADMAP.md | helm/sdacs/Chart.yaml | helm/sdacs/templates/NOTES.txt | helm/sdacs/templates/_helpers.tpl | helm/sdacs/templates/deployment.yaml | helm/sdacs/templates/ingress.yaml | helm/sdacs/templates/service.yaml | helm/sdacs/templates/timescaledb.yaml | helm/sdacs/values.yaml | pyproject.toml | scripts/db/001_init_schema.sql | scripts/db/002_retention_policy.sql | scripts/db/migrate.py | simulation/battery_predictor.py | tests/test_coverage_boost_2.py | tests/test_coverage_boost_4.py | tests/test_coverage_boost_5.py | tests/test_phase521_540.py | tests/test_phase541_560.py | tests/test_phase571_600.py | tests/test_phase611_630.py | tests/test_phase631_640.py | tests/test_phase641_660.py | tests/test_phase661_670_ai.py | tests/test_ws_bridge.py,.github/workflows/ci.yml | README.md | ROADMAP.md | helm/sdacs/Chart.yaml | helm/sdacs/templates/NOTES.txt | helm/sdacs/templates/_helpers.tpl | helm/sdacs/templates/deployment.yaml | helm/sdacs/templates/ingress.yaml | helm/sdacs/templates/service.yaml | helm/sdacs/templates/timescaledb.yaml | helm/sdacs/values.yaml | pyproject.toml | scripts/db/001_init_schema.sql | scripts/db/002_retention_policy.sql | scripts/db/migrate.py | simulation/battery_predictor.py | tests/test_coverage_boost_4.py | tests/test_phase521_540.py | tests/test_phase541_560.py | tests/test_phase571_600.py | tests/test_phase611_630.py | tests/test_phase631_640.py | tests/test_phase641_660.py | tests/test_ws_bridge.py,README.md | ROADMAP.md | helm/sdacs/Chart.yaml | helm/sdacs/templates/_helpers.tpl | helm/sdacs/templates/deployment.yaml | helm/sdacs/templates/ingress.yaml | helm/sdacs/templates/service.yaml | helm/sdacs/values.yaml | pyproject.toml | simulation/battery_predictor.py | tests/test_coverage_boost_2.py | tests/test_coverage_boost_4.py | tests/test_coverage_boost_5.py | tests/test_phase661_670_ai.py | tests/test_ws_bridge.py,Auto-merging README.md | CONFLICT (content): Merge conflict in README.md | Auto-merging ROADMAP.md | CONFLICT (content): Merge conflict in ROADMAP.md | Auto-merging helm/sdacs/Chart.yaml | CONFLICT (add/add): Merge conflict in helm/sdacs/Chart.yaml | Auto-merging helm/sdacs/templates/_helpers.tpl | CONFLICT (add/add): Merge conflict in helm/sdacs/templates/_helpers.tpl | Auto-merging helm/sdacs/templates/deployment.yaml | CONFLICT (add/add): Merge conflict in helm/sdacs/templates/deployment.yaml | Auto-merging helm/sdacs/templates/ingress.yaml | CONFLICT (add/add): Merge conflict in helm/sdacs/templates/ingress.yaml,9a53169603bba9de85e5b292619f618ab3211a87fd49b4c208a32034856b4975
refs/remotes/origin/claude/dazzling-maxwell-3vayn,origin/claude/dazzling-maxwell-3vayn,remote,0eae4f114310520916dbe58da2bc684c17f297d1,2026-05-30T20:34:48Z,docs: 변경 이력 업데이트 2026-05-31 05:34 [changelog],False,False,527,10,9,1,30,30,14,conflict,merge_conflict,50,CLOSED,README.md | ROADMAP.md | api/auth.py | api/db.py | api/fastapi_server.py | api/metrics.py | deployment/helm/sdacs/Chart.yaml | deployment/helm/sdacs/templates/_helpers.tpl | deployment/helm/sdacs/templates/deployment.yaml | deployment/helm/sdacs/templates/hpa.yaml | deployment/helm/sdacs/templates/service.yaml | deployment/helm/sdacs/values.yaml | pyproject.toml | simulation/battery_predictor.py | src/boids_swarm.py | src/sensor_fusion.py | tests/load/locustfile.py | tests/test_api_server_smoke.py | tests/test_coverage_boost_2.py | tests/test_coverage_boost_4.py | tests/test_coverage_boost_5.py | tests/test_phase521_540.py | tests/test_phase541_560.py | tests/test_phase571_600.py | tests/test_phase611_630.py | tests/test_phase631_640.py | tests/test_phase641_660.py | tests/test_phase661_670_ai.py | tests/test_phase712_714_718.py | tests/test_ws_bridge.py,README.md | ROADMAP.md | api/auth.py | api/db.py | api/fastapi_server.py | api/metrics.py | deployment/helm/sdacs/Chart.yaml | deployment/helm/sdacs/templates/_helpers.tpl | deployment/helm/sdacs/templates/deployment.yaml | deployment/helm/sdacs/templates/hpa.yaml | deployment/helm/sdacs/templates/service.yaml | deployment/helm/sdacs/values.yaml | pyproject.toml | simulation/battery_predictor.py | src/boids_swarm.py | src/sensor_fusion.py | tests/load/locustfile.py | tests/test_api_server_smoke.py | tests/test_coverage_boost_2.py | tests/test_coverage_boost_4.py | tests/test_coverage_boost_5.py | tests/test_phase521_540.py | tests/test_phase541_560.py | tests/test_phase571_600.py | tests/test_phase611_630.py | tests/test_phase631_640.py | tests/test_phase641_660.py | tests/test_phase661_670_ai.py | tests/test_phase712_714_718.py | tests/test_ws_bridge.py,README.md | ROADMAP.md | api/auth.py | api/fastapi_server.py | pyproject.toml | simulation/battery_predictor.py | src/boids_swarm.py | src/sensor_fusion.py | tests/test_api_server_smoke.py | tests/test_coverage_boost_2.py | tests/test_coverage_boost_4.py | tests/test_coverage_boost_5.py | tests/test_phase661_670_ai.py | tests/test_ws_bridge.py,Auto-merging README.md | CONFLICT (content): Merge conflict in README.md | Auto-merging ROADMAP.md | CONFLICT (content): Merge conflict in ROADMAP.md | Auto-merging api/auth.py | CONFLICT (add/add): Merge conflict in api/auth.py | Auto-merging api/fastapi_server.py | CONFLICT (content): Merge conflict in api/fastapi_server.py | Auto-merging pyproject.toml | Auto-merging simulation/battery_predictor.py | CONFLICT (content): Merge conflict in simulation/battery_predictor.py | Auto-merging src/boids_swarm.py,71dbbaad40a2f3bf2a735ac999bb9827464d19e40a04482acd921748868ea5ba
refs/remotes/origin/claude/dazzling-maxwell-4iFnf,origin/claude/dazzling-maxwell-4iFnf,remote,3267b51312c1d5d10ce9c73df38225b248bc462e,2026-05-30T23:20:01Z,docs: 변경 이력 업데이트 2026-05-31 08:20 [changelog],False,False,527,26,26,0,27,24,11,conflict,merge_conflict,53,CLOSED,.github/workflows/ci.yml | CHANGELOG.md | README.md | ROADMAP.md | pyproject.toml | reports/status_2026-05-30.md | simulation/battery_predictor.py | simulation/collision_predictor.py | simulation/db_schema.py | simulation/formal_metrics.py | simulation/reproducibility.py | src/utils/rng.py | tests/test_apf_property.py | tests/test_coverage_boost_2.py | tests/test_coverage_boost_4.py | tests/test_coverage_boost_5.py | tests/test_phase521_540.py | tests/test_phase541_560.py | tests/test_phase571_600.py | tests/test_phase611_630.py | tests/test_phase631_640.py | tests/test_phase641_660.py | tests/test_phase661_670_ai.py | tests/test_phase701_710_paper.py | tests/test_phase711_720_deploy.py | tests/test_ws_bridge.py | visualization/_scene_traces.py,.github/workflows/ci.yml | CHANGELOG.md | README.md | ROADMAP.md | pyproject.toml | reports/status_2026-05-30.md | simulation/battery_predictor.py | simulation/collision_predictor.py | simulation/db_schema.py | simulation/formal_metrics.py | simulation/reproducibility.py | src/utils/rng.py | tests/test_apf_property.py | tests/test_coverage_boost_4.py | tests/test_phase521_540.py | tests/test_phase541_560.py | tests/test_phase571_600.py | tests/test_phase611_630.py | tests/test_phase631_640.py | tests/test_phase641_660.py | tests/test_phase701_710_paper.py | tests/test_phase711_720_deploy.py | tests/test_ws_bridge.py | visualization/_scene_traces.py,CHANGELOG.md | README.md | ROADMAP.md | pyproject.toml | simulation/battery_predictor.py | simulation/collision_predictor.py | tests/test_coverage_boost_2.py | tests/test_coverage_boost_4.py | tests/test_coverage_boost_5.py | tests/test_phase661_670_ai.py | tests/test_ws_bridge.py,Auto-merging CHANGELOG.md | CONFLICT (content): Merge conflict in CHANGELOG.md | Auto-merging README.md | CONFLICT (content): Merge conflict in README.md | Auto-merging ROADMAP.md | CONFLICT (content): Merge conflict in ROADMAP.md | Auto-merging pyproject.toml | Auto-merging simulation/battery_predictor.py | CONFLICT (content): Merge conflict in simulation/battery_predictor.py | Auto-merging simulation/collision_predictor.py | CONFLICT (content): Merge conflict in simulation/collision_predictor.py | Auto-merging tests/test_coverage_boost_4.py,f7265db1b3b85a905626ccc37c25f832aea311e821a7a4ad846487dd70177092
