agents_finished,agents_total,horizon_s,method,scenario,seed,tick_count,wall_clock_s
4,4,180.0,cbs,01_corridor_crossing,0,181,0.014767042000016772
4,4,180.0,cbs,01_corridor_crossing,1,181,0.01673376599990206
4,4,180.0,cbs,01_corridor_crossing,10,181,0.007924560999981622
4,4,180.0,cbs,01_corridor_crossing,11,181,0.00981549300001916
4,4,180.0,cbs,01_corridor_crossing,12,181,0.01342809400000533
4,4,180.0,cbs,01_corridor_crossing,13,181,0.004855684999938603
4,4,180.0,cbs,01_corridor_crossing,14,181,0.00783508899996832
4,4,180.0,cbs,01_corridor_crossing,15,181,0.008705272999918634
4,4,180.0,cbs,01_corridor_crossing,16,181,0.013793435000025056
4,4,180.0,cbs,01_corridor_crossing,17,181,0.01018061900003886
4,4,180.0,cbs,01_corridor_crossing,18,181,0.011303465999958462
4,4,180.0,cbs,01_corridor_crossing,19,181,0.010684143000048607
4,4,180.0,cbs,01_corridor_crossing,2,181,0.011621984000043994
4,4,180.0,cbs,01_corridor_crossing,20,181,0.00822529900005975
4,4,180.0,cbs,01_corridor_crossing,21,181,0.009754641999961677
4,4,180.0,cbs,01_corridor_crossing,22,181,0.007084526999960872
4,4,180.0,cbs,01_corridor_crossing,23,181,0.016643484999917746
4,4,180.0,cbs,01_corridor_crossing,24,181,0.010323888000016268
4,4,180.0,cbs,01_corridor_crossing,25,181,0.012460156999964056
4,4,180.0,cbs,01_corridor_crossing,26,181,0.005537864999951125
4,4,180.0,cbs,01_corridor_crossing,27,181,0.01679950599998392
4,4,180.0,cbs,01_corridor_crossing,28,181,0.0084260460000678
4,4,180.0,cbs,01_corridor_crossing,29,181,0.01611358900004234
4,4,180.0,cbs,01_corridor_crossing,3,181,0.008639291000008598
4,4,180.0,cbs,01_corridor_crossing,4,181,0.016418727999962357
4,4,180.0,cbs,01_corridor_crossing,5,181,0.007441307999897617
4,4,180.0,cbs,01_corridor_crossing,6,181,0.013707662999991044
4,4,180.0,cbs,01_corridor_crossing,7,181,0.008800055000051543
4,4,180.0,cbs,01_corridor_crossing,8,181,0.011724890999971649
4,4,180.0,cbs,01_corridor_crossing,9,181,0.023545506000004934
4,4,180.0,orca,01_corridor_crossing,0,180,0.0019483150000496607
4,4,180.0,orca,01_corridor_crossing,1,180,0.0018478119999372211
4,4,180.0,orca,01_corridor_crossing,10,180,0.0008880749999207183
4,4,180.0,orca,01_corridor_crossing,11,180,0.00045491200000924437
4,4,180.0,orca,01_corridor_crossing,12,180,0.0012104640001098232
4,4,180.0,orca,01_corridor_crossing,13,180,0.0033307429999922533
4,4,180.0,orca,01_corridor_crossing,14,180,0.0006070570000247244
4,4,180.0,orca,01_corridor_crossing,15,180,0.00046655300002385047
4,4,180.0,orca,01_corridor_crossing,16,180,0.004547217000094861
4,4,180.0,orca,01_corridor_crossing,17,180,0.0004747130000168909
4,4,180.0,orca,01_corridor_crossing,18,180,0.00047863400004644063
4,4,180.0,orca,01_corridor_crossing,19,180,0.004567276999978276
4,4,180.0,orca,01_corridor_crossing,2,180,0.0015718539999625136
4,4,180.0,orca,01_corridor_crossing,20,180,0.001790760000062619
4,4,180.0,orca,01_corridor_crossing,21,180,0.0006265580000217597
4,4,180.0,orca,01_corridor_crossing,22,180,0.00047758300001987664
4,4,180.0,orca,01_corridor_crossing,23,180,0.009523285000000214
4,4,180.0,orca,01_corridor_crossing,24,180,0.0004907040000716734
4,4,180.0,orca,01_corridor_crossing,25,180,0.0004752430000962704
4,4,180.0,orca,01_corridor_crossing,26,180,0.004944098000009944
4,4,180.0,orca,01_corridor_crossing,27,180,0.0007203110000091328
4,4,180.0,orca,01_corridor_crossing,28,180,0.0007537210000236882
4,4,180.0,orca,01_corridor_crossing,29,180,0.0078182879999531
4,4,180.0,orca,01_corridor_crossing,3,180,0.0014268590000483528
4,4,180.0,orca,01_corridor_crossing,4,180,0.00047951300007298414
4,4,180.0,orca,01_corridor_crossing,5,180,0.002270533000000796
4,4,180.0,orca,01_corridor_crossing,6,180,0.0004732040000590132
4,4,180.0,orca,01_corridor_crossing,7,180,0.00047256300001663476
4,4,180.0,orca,01_corridor_crossing,8,180,0.004812453999988975
4,4,180.0,orca,01_corridor_crossing,9,180,0.0004885529999683058
4,4,180.0,sdacs_hybrid,01_corridor_crossing,0,180,0.03209370799993394
4,4,180.0,sdacs_hybrid,01_corridor_crossing,1,180,0.024732830999937505
4,4,180.0,sdacs_hybrid,01_corridor_crossing,10,180,0.02267045300004611
4,4,180.0,sdacs_hybrid,01_corridor_crossing,11,180,0.022935179999990396
4,4,180.0,sdacs_hybrid,01_corridor_crossing,12,180,0.024940455999967526
4,4,180.0,sdacs_hybrid,01_corridor_crossing,13,180,0.028313956000033613
