scenario,method,n,NMR_mean,NMR_std,PE_mean,PE_std,MSD_mean,RID_CR_mean,RTF_mean,geofence_violations
01_corridor_crossing,orca,5,0.005555555555555556,0.0,1.0,0.0,1.2941790156533557,0.0,235317.5872637333,0.0
01_corridor_crossing,vo,5,0.0,0.0,0.7456249829049068,0.0,9.432095647288765,0.0,10430.431042326058,0.0
01_corridor_crossing,cbs,5,0.005555555555555556,0.0,1.0,0.0,0.0,0.0,180314.6563715165,0.0
01_corridor_crossing,sdacs_hybrid,5,0.005555555555555556,0.0,1.0,0.0,1.2941790156533557,1.0,169535.62573881945,0.0
02_dense_intersection,orca,5,6.944444444444445e-06,1.552824984374854e-05,1.0,0.0,10.255650624658015,0.0,90121.62763704277,0.0
02_dense_intersection,vo,5,0.0,0.0,0.9005398503361918,0.030889993659633744,13.255498347252823,0.0,1673.9568829829684,0.0
02_dense_intersection,cbs,5,0.0,0.0,1.0,0.0,10.71061518348435,0.0,88791.02052119176,0.0
02_dense_intersection,sdacs_hybrid,5,6.944444444444445e-06,1.552824984374854e-05,1.0,0.0,10.255650624658015,1.0,69290.07764485077,0.0
05_weather_diversion,orca,5,0.0,0.0,1.0,0.0,16.092359282170722,0.0,135186.53631874942,0.0
05_weather_diversion,vo,5,0.0,0.0,0.9014465021737715,0.07914849413961952,14.161664307517585,0.0,3448.2761614600513,0.0
05_weather_diversion,cbs,5,0.0,0.0,1.0,4.965068306494546e-17,15.82386169136564,0.0,128899.59325110239,0.0
05_weather_diversion,sdacs_hybrid,5,0.0,0.0,1.0,0.0,16.092359282170722,1.0,105566.75515114548,0.0
