scenario,method,seed,NMR,MSD,PE,MS_s,FT_drone_s,AU,RID_CR,RTF
01_corridor_crossing,cbs,0,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,161430.77893797756
01_corridor_crossing,cbs,1,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,214949.75553148316
01_corridor_crossing,cbs,10,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,307550.88679828914
01_corridor_crossing,cbs,11,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,180014.22114105482
01_corridor_crossing,cbs,12,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,298887.63989262294
01_corridor_crossing,cbs,13,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,282853.4253917956
01_corridor_crossing,cbs,14,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,209370.24916183858
01_corridor_crossing,cbs,15,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,310624.389434595
01_corridor_crossing,cbs,16,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,184761.10904241257
01_corridor_crossing,cbs,17,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,293653.17600245774
01_corridor_crossing,cbs,18,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,302754.0527925709
01_corridor_crossing,cbs,19,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,295963.55047359515
01_corridor_crossing,cbs,2,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,202550.10583120104
01_corridor_crossing,cbs,20,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,300560.5453734382
01_corridor_crossing,cbs,21,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,288877.2624877399
01_corridor_crossing,cbs,22,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,304678.85157664056
01_corridor_crossing,cbs,23,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,196826.07026954682
01_corridor_crossing,cbs,24,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,191221.44827951232
01_corridor_crossing,cbs,25,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,214527.82427245833
01_corridor_crossing,cbs,26,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,284318.8667485585
01_corridor_crossing,cbs,27,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,147591.18881276346
01_corridor_crossing,cbs,28,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,302677.17963413196
01_corridor_crossing,cbs,29,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,306207.85387953493
01_corridor_crossing,cbs,3,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,279937.3563084483
01_corridor_crossing,cbs,4,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,305548.2469079614
01_corridor_crossing,cbs,5,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,308506.0253216226
01_corridor_crossing,cbs,6,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,322024.89252238773
01_corridor_crossing,cbs,7,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,315780.05569766124
01_corridor_crossing,cbs,8,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,302960.93822723714
01_corridor_crossing,cbs,9,0.005555555555555556,0.0,1.0,69.0,276.0,0.39444444444444443,0.0,304400.6182978233
01_corridor_crossing,orca,0,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,221824.30775876905
01_corridor_crossing,orca,1,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,250572.48853156852
01_corridor_crossing,orca,10,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,243195.91862566667
01_corridor_crossing,orca,11,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,282989.50110285025
01_corridor_crossing,orca,12,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,264739.36414480826
01_corridor_crossing,orca,13,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,280365.53435458377
01_corridor_crossing,orca,14,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,264293.1186833587
01_corridor_crossing,orca,15,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,196212.01799213354
01_corridor_crossing,orca,16,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,285433.8356219912
01_corridor_crossing,orca,17,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,270564.39730705746
01_corridor_crossing,orca,18,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,268316.31512025197
01_corridor_crossing,orca,19,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,267147.532178172
01_corridor_crossing,orca,2,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,273119.15731587744
01_corridor_crossing,orca,20,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,140869.32022622813
01_corridor_crossing,orca,21,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,176647.23546622225
01_corridor_crossing,orca,22,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,256125.3078939226
01_corridor_crossing,orca,23,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,268014.28219569067
01_corridor_crossing,orca,24,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,260987.57700426684
01_corridor_crossing,orca,25,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,278408.9239213701
01_corridor_crossing,orca,26,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,237877.4984159832
01_corridor_crossing,orca,27,0.005555555555555556,1.2941790156533557,1.0,71.0,284.0,0.4,0.0,252390.700868346
